POCO;CADASTRO;OPERADOR;POCO_OPERADOR;ESTADO;BACIA;BLOCO;SIG_CAMPO;CAMPO;TERRA_MAR;POCO_POS_ANP;TIPO;CATEGORIA;RECLASSIFICACAO;SITUACAO;INICIO;TERMINO;CONCLUSAO;LATITUDE_BASE_4C;LONGITUDE_BASE_4C;LATITUDE_BASE_DD;LONGITUDE_BASE_DD;DATUM_HORIZONTAL;TIPO_DE_COORDENADA_DE_BASE;DIRECAO;PROFUNDIDADE_VERTICAL_M;PROFUNDIDADE_SONDADOR_M;PROFUNDIDADE_MEDIDA_M;REFERENCIA_DE_PROFUNDIDADE;MESA_ROTATIVA;COTA_ALTIMETRICA_M;LAMINA_D_AGUA_M;DATUM_VERTICAL;UNIDADE_ESTRATIGRAFICA;GEOLOGIA_GRUPO_FINAL;GEOLOGIA_FORMACAO_FINAL;GEOLOGIA_MEMBRO_FINAL;CDPE;AGP;PC;PAG;PERFIS_CONVENCIONAIS;DURANTE_PERFURACAO;PERFIS_DIGITAIS;PERFIS_PROCESSADOS;PERFIS_ESPECIAIS;AMOSTRA_LATERAL;SISMICA;TABELA_TEMPO_PROFUNDIDADE;DADOS_DIRECIONAIS;TESTE_A_CABO;TESTE_DE_FORMACAO;CANHONEIO;TESTEMUNHO;GEOQUIMICA;SIG_SONDA;NOM_SONDA;DHA_ATUALIZACAO
7-GMS-6-RN;72100029557;Petrobras;7GMS6RN;RN;Potiguar;GMR;GMR;GUAMARÉ;T;S;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;PRODUZINDO;23/02/2020;29/02/2020;26/03/2020;-05:12:31,835;-36:26:35,744;-5,208843056;-36,44326222;SIRGAS2000;Definitiva;Vertical;593,6;593;593,6;MR;42,18;37,18;0;NM; ;Apodi;Açu; ;Existe; ; ; ;Existe; ; ;Existe; ; ; ; ;Existe;Existe; ; ; ; ;EBS-05;EBS-05;02/01/2022
7-GMR-121-RN;72100029574;Petrobras;7GMR121RN;RN;Potiguar; ;GMR;GUAMARÉ;T;S;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;PRODUZINDO;18/03/2020;24/03/2020;26/03/2020;-05:12:10,656;-36:25:55,858;-5,20296;-36,43218278;SIRGAS2000;Definitiva;Vertical;623;623,4;623;MR;52,9;47,9;0;NM; ;Apodi;Açu; ;Existe; ; ; ;Existe; ; ;Existe; ; ; ; ;Existe;Existe; ; ; ; ;EBS-05;EBS-05;02/01/2022
7-GMR-123-RN;72100029585;Petrobras;7GMR123RN;RN;Potiguar; ;GMR;GUAMARÉ;T;S;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;PRODUZINDO;18/04/2020;24/04/2020;26/04/2020;-05:12:21,671;-36:26:37,324;-5,206019722;-36,44370111;SIRGAS2000;Definitiva;Vertical;592;594;592;MR;34,9;29,9;0;NM; ;Apodi;Açu; ;Existe; ; ; ;Existe; ; ;Existe; ; ; ; ;Existe; ; ; ; ; ;EBS-05;EBS-05;02/01/2022
7-GMR-128-RN;72100029570;Petrobras;7GMR128RN;RN;Potiguar; ;GMR;GUAMARÉ;T;S;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;PRODUZINDO;01/03/2020;16/03/2020;18/03/2020;-05:12:08,182;-36:26:04,100;-5,202272778;-36,43447222;SIRGAS2000;Definitiva;Vertical;619,5;620;619,5;MR;50,98;45,98;0;NM; ;Apodi;Açu; ;Existe; ; ; ;Existe; ; ;Existe; ; ; ; ;Existe;Existe; ; ; ; ;EBS-05;EBS-05;02/01/2022
7-GMS-11-RN;72100029582;Petrobras;7GMS11RN;RN;Potiguar;GMR;GMR;GUAMARÉ;T;S;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;PRODUZINDO;11/04/2020;17/04/2020;18/04/2020;-05:12:31,726;-36:26:40,547;-5,208812778;-36,44459639;SIRGAS2000;Definitiva;Vertical;585,5;591;585,2;MR;39,97;34,97;0;NM; ;Apodi;Açu; ;Existe; ; ; ;Existe; ; ;Existe; ; ; ; ;Existe; ; ; ; ; ;EBS-05;EBS-05;02/01/2022
7-GMR-122-RN;72100029580;Petrobras;7GMR122RN;RN;Potiguar; ;GMR;GUAMARÉ;T;S;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;PRODUZINDO;03/04/2020;09/04/2020;11/04/2020;-05:12:26,035;-36:26:38,736;-5,207231944;-36,44409333;SIRGAS2000;Definitiva;Vertical;589,2;590;589,2;MR;35,87;30,87;0;NM; ;Apodi;Açu; ;Existe; ; ; ;Existe; ; ;Existe; ; ; ; ;Existe;Existe; ; ; ; ;EBS-05;EBS-05;02/01/2022
7-FAL-160D-ES;34270029546;Petrobras;7FAL160DES;ES;Espírito Santo; ;FAL;FAZENDA ALEGRE;T;S;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;PRODUZINDO;11/02/2020;16/02/2020;24/08/2020;-19:00:11,953;-39:51:50,898;-19,00332028;-39,86413833;SIRGAS2000;Definitiva;Direcional;-849,58;896;862,4;MR;10,78;5,63;0;NM; ;Espírito Santo;Urucutuca; ;Existe; ; ; ;Existe; ; ;Existe; ; ; ; ;Existe;Existe; ;Existe; ; ;EBS-08;EBS-08;02/01/2022
7-FAL-161D-ES;34270029540;Petrobras;7FAL161DES;ES;Espírito Santo; ;FAL;FAZENDA ALEGRE;T;S;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;PRODUZINDO;02/02/2020;06/02/2020;28/05/2020;-19:00:11,988;-39:51:49,872;-19,00333;-39,86385333;SIRGAS2000;Definitiva;Direcional;-877,5;920;918,5;MR;10,73;5,58;0;NM; ;Espírito Santo;Urucutuca; ;Existe; ; ; ;Existe; ; ;Existe; ; ; ; ;Existe;Existe; ;Existe; ; ;EBS-08;EBS-08;02/01/2022
7-FAL-159D-ES;34270029536;Petrobras;7FAL159DES;ES;Espírito Santo; ;FAL;FAZENDA ALEGRE;T;S;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;FECHADO;23/01/2020;28/01/2020;23/05/2020;-19:00:11,918;-39:51:51,923;-19,00331056;-39,86442306;SIRGAS2000;Definitiva;Direcional;-870,22;900;892,1;MR;10,8;5,65;0;NM; ;Espírito Santo;Urucutuca; ;Existe; ; ; ;Existe; ; ;Existe; ; ; ; ;Existe;Existe; ;Existe; ; ;EBS-08;EBS-08;02/01/2022
9-BUZ-39DA-RJS;74316029545;Petrobras;9BUZ39DARJS;RJ;Santos; ;BUZ;BÚZIOS;M;S;9;Especial;PRODUTOR COMERCIAL DE PETRÓLEO;ABANDONADO TEMPORARIAMENTE SEM MONITORAMENTO;10/02/2020;28/05/2020;03/07/2020;-24:43:29,503;-42:20:41,244;-24,72486194;-42,34479;SIRGAS2000;Definitiva;Direcional;-5965,4;6037;6037;MR;32;0;2104;NM; ;Guaratiba;Itapema; ;Existe; ; ; ;Existe;Existe; ;Existe; ;Existe;Existe;Existe;Existe;Existe; ; ; ; ;NS-41;ODN I;02/01/2022
